fecha,hora,provincia,localidad,precio
2023/01/12,23:50:45,BUENOS AIRES,9 DE JULIO,"$ 382,50"
2023/01/12,23:50:49,BUENOS AIRES,AZUL,"$ 390,00"
2023/01/12,23:50:52,BUENOS AIRES,BRAGADO,"$ 390,00"
2023/01/12,23:50:56,BUENOS AIRES,CARLOS CASARES,"$ 390,00"
2023/01/12,23:51:00,BUENOS AIRES,CHACABUCO,"$ 390,00"
2023/01/12,23:51:03,BUENOS AIRES,CHIVILCOY,"$ 390,00"
2023/01/12,23:51:07,BUENOS AIRES,GENERAL VILLEGAS,"$ 382,50"
2023/01/12,23:51:11,BUENOS AIRES,JUNIN,"$ 390,00"
2023/01/12,23:51:14,BUENOS AIRES,LINCOLN,"$ 390,00"
2023/01/12,23:51:18,BUENOS AIRES,MERCEDES,"$ 534,50"
2023/01/12,23:51:22,BUENOS AIRES,PEHUAJO,"$ 382,50"
2023/01/12,23:51:26,BUENOS AIRES,TRENQUE LAUQUEN,"$ 382,50"
2023/01/12,23:51:29,CHUBUT,COMODORO RIVADAVIA,"$ 325,00"
2023/01/12,23:51:33,CHUBUT,ESQUEL,"$ 430,00"
2023/01/12,23:51:37,CHUBUT,PUERTO MADRYN,"$ 430,00"
2023/01/12,23:51:40,CHUBUT,RADA TILLY,"$ 325,00"
2023/01/12,23:51:44,CHUBUT,TRELEW,"$ 430,00"
2023/01/12,23:51:48,CORDOBA,MARCOS JUARES,
2023/01/12,23:51:51,CORDOBA,MORTEROS,
2023/01/12,23:51:55,CORRIENTES,GOYA,"$ 447,50"
2023/01/12,23:51:58,LA PAMPA,GENERAL PICO,"$ 397,00"
2023/01/12,23:52:02,LA PAMPA,SANTA ROSA,"$ 397,00"
2023/01/12,23:52:07,NEUQUEN,CENTENARIO,"$ 402,50"
2023/01/12,23:52:11,NEUQUEN,CUTRAL CO,"$ 430,00"
2023/01/12,23:52:15,NEUQUEN,JUNIN DE LOS ANDES,"$ 430,00"
2023/01/12,23:52:23,NEUQUEN,PLOTTIER,"$ 402,50"
2023/01/12,23:52:27,NEUQUEN,SAN MARTIN DE LOS ANDES,"$ 430,00"
2023/01/12,23:52:30,NEUQUEN,VILLA LA ANGOSTURA,"$ 430,00"
2023/01/12,23:52:34,NEUQUEN,ZAPALA,"$ 430,00"
2023/01/12,23:52:38,RIO NEGRO,ALLEN,"$ 430,00"
2023/01/12,23:52:42,RIO NEGRO,CATRIEL,
2023/01/12,23:52:45,RIO NEGRO,CHOELE CHOEL,"$ 398,00"
2023/01/12,23:52:49,RIO NEGRO,CINCO SALTOS,"$ 402,50"
2023/01/12,23:52:57,RIO NEGRO,EL BOLSON,"$ 430,00"
2023/01/12,23:53:01,RIO NEGRO,GENERAL ROCA,"$ 402,50"
2023/01/12,23:53:09,RIO NEGRO,VIEDMA,"$ 390,00"
2023/01/12,23:53:12,RIO NEGRO,VILLA REGINA,"$ 430,00"
2023/01/12,23:53:17,SANTA CRUZ,CALETA OLIVIA,"$ 430,00"
2023/01/12,23:53:21,SANTA CRUZ,RIO GALLEGOS,"$ 430,00"
2023/01/12,23:53:32,SANTA FE,VENADO TUERTO,
2023/01/12,23:53:36,TIERRA DEL FUEGO,RIO GRANDE,"$ 409,00"
2023/01/12,23:53:39,TIERRA DEL FUEGO,USHUAIA,"$ 409,00"
2023/01/12,23:50:45,BUENOS AIRES,9 DE JULIO,"$ 382,50"
2023/01/12,23:50:49,BUENOS AIRES,AZUL,"$ 390,00"
2023/01/12,23:50:52,BUENOS AIRES,BRAGADO,"$ 390,00"
2023/01/12,23:50:56,BUENOS AIRES,CARLOS CASARES,"$ 390,00"
2023/01/12,23:51:00,BUENOS AIRES,CHACABUCO,"$ 390,00"
2023/01/12,23:51:03,BUENOS AIRES,CHIVILCOY,"$ 390,00"
2023/01/12,23:51:07,BUENOS AIRES,GENERAL VILLEGAS,"$ 382,50"
2023/01/12,23:51:11,BUENOS AIRES,JUNIN,"$ 390,00"
2023/01/12,23:51:14,BUENOS AIRES,LINCOLN,"$ 390,00"
2023/01/12,23:51:18,BUENOS AIRES,MERCEDES,"$ 534,50"
2023/01/12,23:51:22,BUENOS AIRES,PEHUAJO,"$ 382,50"
2023/01/12,23:51:26,BUENOS AIRES,TRENQUE LAUQUEN,"$ 382,50"
2023/01/12,23:51:29,CHUBUT,COMODORO RIVADAVIA,"$ 325,00"
2023/01/12,23:51:33,CHUBUT,ESQUEL,"$ 430,00"
2023/01/12,23:51:37,CHUBUT,PUERTO MADRYN,"$ 430,00"
2023/01/12,23:51:40,CHUBUT,RADA TILLY,"$ 325,00"
2023/01/12,23:51:44,CHUBUT,TRELEW,"$ 430,00"
2023/01/12,23:51:48,CORDOBA,MARCOS JUARES,
2023/01/12,23:51:51,CORDOBA,MORTEROS,
